| case | noc | major | source | receiver | rect | raw route | hops | x | y | wraps | bytes | iters | seen-issue cyc | seen-sent cyc | sent reqs | recv polls |
| column | 0 | x | `1,2` | `1,3` | `1,3->1,11` | `1,2->1,3` | 1 | 0 | 1 | 0 | 64 | 16 | min=170 avg=176.438 med=176.000 max=192 | min=145 avg=151.438 med=151.000 max=167 | 16 | 9473 |
| column | 0 | x | `1,2` | `1,7` | `1,3->1,11` | `1,2->1,7` | 5 | 0 | 5 | 0 | 64 | 16 | min=206 avg=211.250 med=209.000 max=231 | min=181 avg=186.250 med=184.000 max=206 | 16 | 9461 |
| column | 0 | x | `1,2` | `1,11` | `1,3->1,11` | `1,2->1,11` | 9 | 0 | 9 | 0 | 64 | 16 | min=242 avg=248.562 med=248.000 max=264 | min=217 avg=223.562 med=223.000 max=239 | 16 | 9394 |
| column | 0 | x | `1,2` | `1,3` | `1,3->1,11` | `1,2->1,3` | 1 | 0 | 1 | 0 | 1024 | 16 | min=186 avg=189.938 med=188.500 max=195 | min=24 avg=27.938 med=26.500 max=33 | 16 | 9672 |
| column | 0 | x | `1,2` | `1,7` | `1,3->1,11` | `1,2->1,7` | 5 | 0 | 5 | 0 | 1024 | 16 | min=221 avg=226.250 med=226.500 max=231 | min=59 avg=64.250 med=64.500 max=69 | 16 | 9566 |
| column | 0 | x | `1,2` | `1,11` | `1,3->1,11` | `1,2->1,11` | 9 | 0 | 9 | 0 | 1024 | 16 | min=257 avg=262.312 med=262.000 max=267 | min=95 avg=100.312 med=100.000 max=105 | 16 | 9511 |
| column | 0 | x | `1,2` | `1,3` | `1,3->1,11` | `1,2->1,3` | 1 | 0 | 1 | 0 | 16384 | 16 | min=431 avg=435.500 med=436.000 max=441 | min=21 avg=25.500 med=26.000 max=31 | 16 | 10035 |
| column | 0 | x | `1,2` | `1,7` | `1,3->1,11` | `1,2->1,7` | 5 | 0 | 5 | 0 | 16384 | 16 | min=467 avg=472.500 med=473.000 max=477 | min=57 avg=62.500 med=63.000 max=67 | 16 | 9983 |
| column | 0 | x | `1,2` | `1,11` | `1,3->1,11` | `1,2->1,11` | 9 | 0 | 9 | 0 | 16384 | 16 | min=502 avg=507.625 med=509.000 max=513 | min=92 avg=97.625 med=99.000 max=103 | 16 | 9911 |
| column | 0 | y | `1,2` | `1,3` | `1,3->1,11` | `1,2->1,3` | 1 | 0 | 1 | 0 | 64 | 16 | min=170 avg=174.875 med=175.500 max=179 | min=145 avg=149.875 med=150.500 max=154 | 16 | 9483 |
| column | 0 | y | `1,2` | `1,7` | `1,3->1,11` | `1,2->1,7` | 5 | 0 | 5 | 0 | 64 | 16 | min=206 avg=211.062 med=211.500 max=216 | min=181 avg=186.062 med=186.500 max=191 | 16 | 9463 |
| column | 0 | y | `1,2` | `1,11` | `1,3->1,11` | `1,2->1,11` | 9 | 0 | 9 | 0 | 64 | 16 | min=242 avg=245.188 med=244.500 max=250 | min=217 avg=220.188 med=219.500 max=225 | 16 | 9324 |
| column | 0 | y | `1,2` | `1,3` | `1,3->1,11` | `1,2->1,3` | 1 | 0 | 1 | 0 | 1024 | 16 | min=185 avg=189.750 med=189.500 max=194 | min=23 avg=27.750 med=27.500 max=32 | 16 | 9673 |
| column | 0 | y | `1,2` | `1,7` | `1,3->1,11` | `1,2->1,7` | 5 | 0 | 5 | 0 | 1024 | 16 | min=221 avg=225.438 med=224.500 max=231 | min=59 avg=63.438 med=62.500 max=69 | 16 | 9613 |
| column | 0 | y | `1,2` | `1,11` | `1,3->1,11` | `1,2->1,11` | 9 | 0 | 9 | 0 | 1024 | 16 | min=257 avg=261.812 med=261.500 max=267 | min=95 avg=99.812 med=99.500 max=105 | 16 | 9534 |
| column | 0 | y | `1,2` | `1,3` | `1,3->1,11` | `1,2->1,3` | 1 | 0 | 1 | 0 | 16384 | 16 | min=430 avg=436.125 med=436.000 max=441 | min=19 avg=25.625 med=25.000 max=31 | 16 | 10032 |
| column | 0 | y | `1,2` | `1,7` | `1,3->1,11` | `1,2->1,7` | 5 | 0 | 5 | 0 | 16384 | 16 | min=466 avg=472.750 med=472.000 max=479 | min=52 avg=62.250 med=62.000 max=69 | 16 | 9985 |
| column | 0 | y | `1,2` | `1,11` | `1,3->1,11` | `1,2->1,11` | 9 | 0 | 9 | 0 | 16384 | 16 | min=505 avg=509.562 med=510.000 max=515 | min=94 avg=99.062 med=100.000 max=105 | 16 | 9906 |
| column | 1 | x | `1,2` | `1,3` | `1,11->1,3` | `15,9->15,8` | 11 | 0 | 11 | 1 | 64 | 16 | min=288 avg=292.688 med=293.000 max=297 | min=263 avg=267.688 med=268.000 max=272 | 16 | 9450 |
| column | 1 | x | `1,2` | `1,7` | `1,11->1,3` | `15,9->15,4` | 7 | 0 | 7 | 1 | 64 | 16 | min=252 avg=257.250 med=258.000 max=262 | min=227 avg=232.250 med=233.000 max=237 | 16 | 9465 |
| column | 1 | x | `1,2` | `1,11` | `1,11->1,3` | `15,9->15,0` | 3 | 0 | 3 | 1 | 64 | 16 | min=216 avg=221.000 med=221.500 max=226 | min=191 avg=196.000 med=196.500 max=201 | 16 | 9399 |
| column | 1 | x | `1,2` | `1,3` | `1,11->1,3` | `15,9->15,8` | 11 | 0 | 11 | 1 | 1024 | 16 | min=303 avg=307.688 med=306.500 max=313 | min=109 avg=113.688 med=112.500 max=119 | 16 | 9721 |
| column | 1 | x | `1,2` | `1,7` | `1,11->1,3` | `15,9->15,4` | 7 | 0 | 7 | 1 | 1024 | 16 | min=268 avg=272.625 med=272.500 max=277 | min=74 avg=78.625 med=78.500 max=83 | 16 | 9675 |
| column | 1 | x | `1,2` | `1,11` | `1,11->1,3` | `15,9->15,0` | 3 | 0 | 3 | 1 | 1024 | 16 | min=232 avg=235.625 med=234.000 max=242 | min=38 avg=41.625 med=40.000 max=48 | 16 | 9593 |
| column | 1 | x | `1,2` | `1,3` | `1,11->1,3` | `15,9->15,8` | 11 | 0 | 11 | 1 | 16384 | 16 | min=550 avg=555.938 med=556.000 max=562 | min=110 avg=118.438 med=117.500 max=127 | 16 | 10079 |
| column | 1 | x | `1,2` | `1,7` | `1,11->1,3` | `15,9->15,4` | 7 | 0 | 7 | 1 | 16384 | 16 | min=513 avg=519.062 med=519.000 max=526 | min=73 avg=81.562 med=81.500 max=89 | 16 | 10001 |
| column | 1 | x | `1,2` | `1,11` | `1,11->1,3` | `15,9->15,0` | 3 | 0 | 3 | 1 | 16384 | 16 | min=476 avg=482.000 med=482.500 max=489 | min=37 avg=44.500 med=43.000 max=55 | 16 | 9936 |
| column | 1 | y | `1,2` | `1,3` | `1,11->1,3` | `15,9->15,8` | 11 | 0 | 11 | 1 | 64 | 16 | min=288 avg=292.125 med=292.500 max=296 | min=263 avg=267.125 med=267.500 max=271 | 16 | 9527 |
| column | 1 | y | `1,2` | `1,7` | `1,11->1,3` | `15,9->15,4` | 7 | 0 | 7 | 1 | 64 | 16 | min=252 avg=257.062 med=257.500 max=262 | min=227 avg=232.062 med=232.500 max=237 | 16 | 9464 |
| column | 1 | y | `1,2` | `1,11` | `1,11->1,3` | `15,9->15,0` | 3 | 0 | 3 | 1 | 64 | 16 | min=216 avg=221.438 med=221.500 max=226 | min=191 avg=196.438 med=196.500 max=201 | 16 | 9400 |
| column | 1 | y | `1,2` | `1,3` | `1,11->1,3` | `15,9->15,8` | 11 | 0 | 11 | 1 | 1024 | 16 | min=303 avg=307.438 med=307.000 max=313 | min=109 avg=113.438 med=113.000 max=119 | 16 | 9699 |
| column | 1 | y | `1,2` | `1,7` | `1,11->1,3` | `15,9->15,4` | 7 | 0 | 7 | 1 | 1024 | 16 | min=268 avg=272.375 med=273.000 max=276 | min=74 avg=78.375 med=79.000 max=82 | 16 | 9687 |
| column | 1 | y | `1,2` | `1,11` | `1,11->1,3` | `15,9->15,0` | 3 | 0 | 3 | 1 | 1024 | 16 | min=231 avg=236.875 med=238.000 max=242 | min=37 avg=42.875 med=44.000 max=48 | 16 | 9579 |
| column | 1 | y | `1,2` | `1,3` | `1,11->1,3` | `15,9->15,8` | 11 | 0 | 11 | 1 | 16384 | 16 | min=549 avg=553.438 med=553.000 max=562 | min=107 avg=116.438 med=117.000 max=124 | 16 | 10066 |
| column | 1 | y | `1,2` | `1,7` | `1,11->1,3` | `15,9->15,4` | 7 | 0 | 7 | 1 | 16384 | 16 | min=514 avg=518.000 med=517.500 max=525 | min=73 avg=81.000 med=80.500 max=91 | 16 | 10025 |
| column | 1 | y | `1,2` | `1,11` | `1,11->1,3` | `15,9->15,0` | 3 | 0 | 3 | 1 | 16384 | 16 | min=475 avg=481.688 med=481.000 max=488 | min=37 avg=44.688 med=45.500 max=52 | 16 | 9941 |
| rect | 0 | x | `1,2` | `2,3` | `2,3->14,11` | `1,2->2,3` | 2 | 1 | 1 | 0 | 64 | 16 | min=389 avg=396.250 med=397.000 max=409 | min=364 avg=371.250 med=372.000 max=384 | 16 | 9481 |
| rect | 0 | x | `1,2` | `14,3` | `2,3->14,11` | `1,2->16,3` | 16 | 15 | 1 | 0 | 64 | 16 | min=518 avg=521.438 med=520.000 max=533 | min=493 avg=496.438 med=495.000 max=508 | 16 | 9452 |
