| case | group | noc | major | source | receiver | rect | raw route | hops | bytes | iters | seen-issue cyc | seen-sent cyc | sent reqs | recv polls |
| disjoint | b | 0 | y | `10,2` | `11,3` | `11,3->13,5` | `11,2->12,3` | 2 | 16384 | 4 | min=405 avg=409.500 med=409.500 max=414 | min=35 avg=39.500 med=39.500 max=44 | 4 | 2790 |
| disjoint | b | 0 | y | `10,2` | `12,3` | `11,3->13,5` | `11,2->13,3` | 3 | 16384 | 4 | min=420 avg=422.250 med=422.000 max=425 | min=50 avg=52.250 med=52.000 max=55 | 4 | 2795 |
| disjoint | b | 0 | y | `10,2` | `13,3` | `11,3->13,5` | `11,2->14,3` | 4 | 16384 | 4 | min=427 avg=430.000 med=430.000 max=433 | min=57 avg=60.000 med=60.000 max=63 | 4 | 2801 |
| disjoint | b | 0 | y | `10,2` | `11,4` | `11,3->13,5` | `11,2->12,4` | 3 | 16384 | 4 | min=413 avg=414.000 med=414.000 max=415 | min=43 avg=44.000 med=44.000 max=45 | 4 | 2788 |
| disjoint | b | 0 | y | `10,2` | `12,4` | `11,3->13,5` | `11,2->13,4` | 4 | 16384 | 4 | min=426 avg=428.500 med=427.000 max=434 | min=56 avg=58.500 med=57.000 max=64 | 4 | 2787 |
| disjoint | b | 0 | y | `10,2` | `13,4` | `11,3->13,5` | `11,2->14,4` | 5 | 16384 | 4 | min=440 avg=440.750 med=440.500 max=442 | min=70 avg=70.750 med=70.500 max=72 | 4 | 2791 |
| disjoint | b | 0 | y | `10,2` | `11,5` | `11,3->13,5` | `11,2->12,5` | 4 | 16384 | 4 | min=418 avg=420.750 med=421.000 max=423 | min=48 avg=50.750 med=51.000 max=53 | 4 | 2795 |
| disjoint | b | 0 | y | `10,2` | `12,5` | `11,3->13,5` | `11,2->13,5` | 5 | 16384 | 4 | min=433 avg=439.250 med=441.000 max=442 | min=63 avg=69.250 med=71.000 max=72 | 4 | 2796 |
| disjoint | b | 0 | y | `10,2` | `13,5` | `11,3->13,5` | `11,2->14,5` | 6 | 16384 | 4 | min=455 avg=455.750 med=455.500 max=457 | min=85 avg=85.750 med=85.500 max=87 | 4 | 2803 |
| disjoint | a | 1 | x | `1,2` | `2,3` | `4,5->2,3` | `15,9->14,8` | 27 | 16384 | 4 | min=919 avg=923.500 med=923.500 max=928 | min=261 avg=265.500 med=265.500 max=270 | 4 | 2927 |
| disjoint | a | 1 | x | `1,2` | `3,3` | `4,5->2,3` | `15,9->13,8` | 26 | 16384 | 4 | min=905 avg=910.250 med=911.000 max=914 | min=247 avg=252.250 med=253.000 max=256 | 4 | 2933 |
| disjoint | a | 1 | x | `1,2` | `4,3` | `4,5->2,3` | `15,9->12,8` | 25 | 16384 | 4 | min=899 avg=900.250 med=900.500 max=901 | min=241 avg=242.250 med=242.500 max=243 | 4 | 2939 |
| disjoint | a | 1 | x | `1,2` | `2,4` | `4,5->2,3` | `15,9->14,7` | 26 | 16384 | 4 | min=910 avg=913.750 med=913.000 max=919 | min=252 avg=255.750 med=255.000 max=261 | 4 | 2919 |
| disjoint | a | 1 | x | `1,2` | `3,4` | `4,5->2,3` | `15,9->13,7` | 25 | 16384 | 4 | min=896 avg=901.000 med=900.500 max=907 | min=238 avg=243.000 med=242.500 max=249 | 4 | 2910 |
| disjoint | a | 1 | x | `1,2` | `4,4` | `4,5->2,3` | `15,9->12,7` | 24 | 16384 | 4 | min=883 avg=885.750 med=885.500 max=889 | min=225 avg=227.750 med=227.500 max=231 | 4 | 2930 |
| disjoint | a | 1 | x | `1,2` | `2,5` | `4,5->2,3` | `15,9->14,6` | 25 | 16384 | 4 | min=907 avg=908.250 med=908.500 max=909 | min=249 avg=250.250 med=250.500 max=251 | 4 | 2932 |
| disjoint | a | 1 | x | `1,2` | `3,5` | `4,5->2,3` | `15,9->13,6` | 24 | 16384 | 4 | min=886 avg=891.750 med=892.000 max=897 | min=228 avg=233.750 med=234.000 max=239 | 4 | 2901 |
| disjoint | a | 1 | x | `1,2` | `4,5` | `4,5->2,3` | `15,9->12,6` | 23 | 16384 | 4 | min=876 avg=881.250 med=882.000 max=885 | min=218 avg=223.250 med=224.000 max=227 | 4 | 2914 |
| disjoint | b | 1 | x | `10,2` | `11,3` | `13,5->11,3` | `5,9->4,8` | 27 | 16384 | 4 | min=925 avg=929.000 med=929.000 max=933 | min=267 avg=271.000 med=271.000 max=275 | 4 | 2919 |
| disjoint | b | 1 | x | `10,2` | `12,3` | `13,5->11,3` | `5,9->3,8` | 26 | 16384 | 4 | min=919 avg=922.750 med=924.000 max=924 | min=261 avg=264.750 med=266.000 max=266 | 4 | 2918 |
| disjoint | b | 1 | x | `10,2` | `13,3` | `13,5->11,3` | `5,9->2,8` | 25 | 16384 | 4 | min=917 avg=918.250 med=918.000 max=920 | min=259 avg=260.250 med=260.000 max=262 | 4 | 2897 |
| disjoint | b | 1 | x | `10,2` | `11,4` | `13,5->11,3` | `5,9->4,7` | 26 | 16384 | 4 | min=915 avg=918.750 med=918.500 max=923 | min=257 avg=260.750 med=260.500 max=265 | 4 | 2890 |
| disjoint | b | 1 | x | `10,2` | `12,4` | `13,5->11,3` | `5,9->3,7` | 25 | 16384 | 4 | min=907 avg=910.750 med=909.000 max=918 | min=249 avg=252.750 med=251.000 max=260 | 4 | 2903 |
| disjoint | b | 1 | x | `10,2` | `13,4` | `13,5->11,3` | `5,9->2,7` | 24 | 16384 | 4 | min=901 avg=906.750 med=906.000 max=914 | min=243 avg=248.750 med=248.000 max=256 | 4 | 2895 |
| disjoint | b | 1 | x | `10,2` | `11,5` | `13,5->11,3` | `5,9->4,6` | 25 | 16384 | 4 | min=907 avg=909.000 med=908.500 max=912 | min=249 avg=251.000 med=250.500 max=254 | 4 | 2911 |
| disjoint | b | 1 | x | `10,2` | `12,5` | `13,5->11,3` | `5,9->3,6` | 24 | 16384 | 4 | min=896 avg=901.500 med=902.500 max=905 | min=238 avg=243.500 med=244.500 max=247 | 4 | 2901 |
| disjoint | b | 1 | x | `10,2` | `13,5` | `13,5->11,3` | `5,9->2,6` | 23 | 16384 | 4 | min=893 avg=900.500 med=902.000 max=905 | min=235 avg=242.500 med=244.000 max=247 | 4 | 2914 |
| disjoint | a | 1 | y | `1,2` | `2,3` | `4,5->2,3` | `15,9->14,8` | 27 | 16384 | 4 | min=924 avg=928.000 med=928.000 max=932 | min=266 avg=270.000 med=270.000 max=274 | 4 | 2922 |
